AB,AVG,BB,G,H,HR,OBP,OPS,PLAYER,R,RBI,SB,SLG,SO,TEAM
8,.625,0,2,5,1,.625,1.750,Michael Harris,2,2,0,1.125,1,ATL
11,.455,1,3,5,2,.500,1.500,Jackson Chourio,3,3,1,1.000,1,MIL
26,.423,3,7,11,4,.500,1.500,Fernando Tatis,8,7,0,1.000,2,SD
7,.429,0,2,3,1,.429,1.429,Cedric Mullins,1,1,0,1.000,1,BAL
12,.333,5,4,4,1,.529,1.279,Bryce Harper,3,3,0,.750,5,PHI
19,.368,3,5,7,2,.455,1.244,Giancarlo Stanton,3,5,1,.789,2,NYY
11,.455,1,3,5,0,.500,1.227,Brice Turang,3,0,2,.727,1,MIL
19,.421,2,6,8,1,.476,1.160,Brayan Rocchio,2,2,0,.684,4,CLE
11,.364,0,3,4,1,.364,1.091,Sal Frelick,2,1,0,.727,1,MIL
7,.286,1,2,2,1,.375,1.089,Jorge Soler,1,1,0,.714,2,ATL
37,.378,2,9,14,3,.410,1.086,Mark Vientos,6,11,0,.676,13,NYM
19,.263,1,7,5,3,.273,1.062,Kyle Higashioka,3,5,0,.789,3,SD
17,.412,0,4,7,1,.412,1.059,Nick Castellanos,2,3,0,.647,3,PHI
17,.353,4,5,6,1,.455,1.043,Juan Soto,2,3,0,.588,5,NYY
25,.480,2,6,12,0,.519,1.039,Steven Kwan,6,1,1,.520,3,CLE
29,.241,9,9,7,3,.410,.996,Pete Alonso,6,6,2,.586,10,NYM
24,.250,6,7,6,2,.400,.900,Teoscar Hern,4,7,1,.500,8,LAD
34,.235,8,9,8,2,.372,.872,Francisco Lindor,8,7,0,.500,8,NYM
22,.273,1,6,6,2,.304,.849,Lane Thomas,2,9,0,.545,5,CLE
24,.250,3,7,6,1,.333,.833,Jackson Merrill,4,5,0,.500,6,SD
24,.208,3,7,5,2,.321,.821,Max Muncy,4,4,1,.500,7,LAD
19,.211,6,5,4,1,.400,.821,Gleyber Torres,5,3,0,.421,3,NYY
26,.269,3,7,7,1,.345,.807,Parker Meadows,3,1,3,.462,6,DET
7,.286,1,2,2,0,.375,.804,Yordan Alvarez,0,0,0,.429,1,HOU
23,.304,2,6,7,0,.360,.795,Michael Massey,1,1,0,.435,6,KC
8,.625,0,2,5,1,.625,1.750,Michael Harris,2,2,0,1.125,1,ATL
11,.455,1,3,5,2,.500,1.500,Jackson Chourio,3,3,1,1.000,1,MIL
26,.423,3,7,11,4,.500,1.500,Fernando Tatis,8,7,0,1.000,2,SD
7,.429,0,2,3,1,.429,1.429,Cedric Mullins,1,1,0,1.000,1,BAL
12,.333,5,4,4,1,.529,1.279,Bryce Harper,3,3,0,.750,5,PHI
19,.368,3,5,7,2,.455,1.244,Giancarlo Stanton,3,5,1,.789,2,NYY
11,.455,1,3,5,0,.500,1.227,Brice Turang,3,0,2,.727,1,MIL
19,.421,2,6,8,1,.476,1.160,Brayan Rocchio,2,2,0,.684,4,CLE
11,.364,0,3,4,1,.364,1.091,Sal Frelick,2,1,0,.727,1,MIL
7,.286,1,2,2,1,.375,1.089,Jorge Soler,1,1,0,.714,2,ATL
37,.378,2,9,14,3,.410,1.086,Mark Vientos,6,11,0,.676,13,NYM
19,.263,1,7,5,3,.273,1.062,Kyle Higashioka,3,5,0,.789,3,SD
17,.412,0,4,7,1,.412,1.059,Nick Castellanos,2,3,0,.647,3,PHI
17,.353,4,5,6,1,.455,1.043,Juan Soto,2,3,0,.588,5,NYY
25,.480,2,6,12,0,.519,1.039,Steven Kwan,6,1,1,.520,3,CLE
29,.241,9,9,7,3,.410,.996,Pete Alonso,6,6,2,.586,10,NYM
24,.250,6,7,6,2,.400,.900,Teoscar Hern,4,7,1,.500,8,LAD
34,.235,8,9,8,2,.372,.872,Francisco Lindor,8,7,0,.500,8,NYM
22,.273,1,6,6,2,.304,.849,Lane Thomas,2,9,0,.545,5,CLE
24,.250,3,7,6,1,.333,.833,Jackson Merrill,4,5,0,.500,6,SD
24,.208,3,7,5,2,.321,.821,Max Muncy,4,4,1,.500,7,LAD
19,.211,6,5,4,1,.400,.821,Gleyber Torres,5,3,0,.421,3,NYY
26,.269,3,7,7,1,.345,.807,Parker Meadows,3,1,3,.462,6,DET
7,.286,1,2,2,0,.375,.804,Yordan Alvarez,0,0,0,.429,1,HOU
23,.304,2,6,7,0,.360,.795,Michael Massey,1,1,0,.435,6,KC
26,.192,5,7,5,2,.323,.785,Mookie Betts,6,6,0,.462,6,LAD
19,.263,1,6,5,1,.300,.774,David Fry,3,5,1,.474,7,CLE
8,.375,0,2,3,0,.375,.750,Alex Bregman,0,0,0,.375,0,HOU
19,.263,2,6,5,1,.318,.739,Gavin Lux,4,3,0,.421,2,LAD
7,.286,0,2,2,0,.286,.715,RamónR UríasUríasB,0,0,0,.429,1,BAL
22,.273,3,7,6,0,.360,.678,Jake Rogers,3,2,0,.318,8,DET
27,.222,5,7,6,1,.344,.677,Shohei Ohtani,5,5,0,.333,12,LAD
